state_name,month_name,death,hospitalized,positive
Alabama,Mar,30.0,0.0,5640.0
Alabama,Apr,3936.0,15687.0,122902.0
Alabama,May,14341.0,43520.0,367602.0
Alabama,Jun,23695.0,68997.0,799987.0
Alabama,Jul,38436.0,206707.0,1918336.0
Alabama,Aug,58857.0,391913.0,3353210.0
Alabama,Sep,71418.0,476898.0,4227298.0
Alabama,Oct,85064.0,582555.0,5332670.0
Alabama,Nov,98538.0,679988.0,6584507.0
Alabama,Dec,131827.0,915043.0,9513716.0
Alaska,Mar,13.0,72.0,789.0
Alaska,Apr,230.0,946.0,8290.0
Alaska,May,305.0,1378.0,12268.0
Alaska,Jun,351.0,1784.0,20522.0
Alaska,Jul,558.0,3262.0,55751.0
Alaska,Aug,912.0,6199.0,131139.0
Alaska,Sep,1359.0,8384.0,195243.0
Alaska,Oct,2017.0,11647.0,339693.0
Alaska,Nov,2972.0,17181.0,690685.0
Alaska,Dec,5362.0,27939.0,1241538.0
American Samoa,Mar,0.0,0.0,0.0
American Samoa,Apr,0.0,0.0,0.0
American Samoa,May,0.0,0.0,0.0
American Samoa,Jun,0.0,0.0,0.0
American Samoa,Jul,0.0,0.0,0.0
American Samoa,Aug,0.0,0.0,0.0
American Samoa,Sep,0.0,0.0,0.0
American Samoa,Oct,0.0,0.0,0.0
American Samoa,Nov,0.0,0.0,0.0
American Samoa,Dec,0.0,0.0,0.0
Arizona,Mar,113.0,3927.0,7133.0
Arizona,Apr,4792.0,37220.0,128654.0
Arizona,May,19859.0,83063.0,417109.0
Arizona,Jun,37298.0,123719.0,1292258.0
Arizona,Jul,79627.0,207664.0,4103043.0
Arizona,Aug,137942.0,592341.0,5950198.0
Arizona,Sep,161364.0,653082.0,6319710.0
Arizona,Oct,179972.0,649291.0,7141108.0
Arizona,Nov,189499.0,700873.0,8435288.0
Arizona,Dec,237324.0,981412.0,13273679.0
Arkansas,Mar,34.0,0.0,3759.0
Arkansas,Apr,989.0,6108.0,52392.0
Arkansas,May,3116.0,16476.0,149014.0
Arkansas,Jun,5851.0,30985.0,398698.0
Arkansas,Jul,10794.0,63487.0,967828.0
Arkansas,Aug,19052.0,111502.0,1632521.0
Arkansas,Sep,32401.0,144668.0,2172430.0
Arkansas,Oct,51279.0,193107.0,3024135.0
Arkansas,Nov,66721.0,239762.0,4028716.0
Arkansas,Dec,95245.0,316309.0,5960667.0
California,Mar,910.0,0.0,45262.0
California,Apr,28692.0,0.0,807446.0
California,May,97739.0,0.0,2410359.0
California,Jun,153944.0,0.0,4765016.0
California,Jul,229362.0,0.0,11166252.0
California,Aug,345648.0,0.0,18894736.0
California,Sep,435369.0,0.0,22856989.0
California,Oct,520762.0,0.0,26779343.0
California,Nov,550121.0,0.0,31242335.0
California,Dec,676929.0,0.0,52714119.0
Colorado,Mar,328.0,2489.0,18657.0
Colorado,Apr,11714.0,50087.0,264313.0
Colorado,May,35612.0,115867.0,662265.0
Colorado,Jun,48035.0,152533.0,886867.0
Colorado,Jul,54225.0,185231.0,1213701.0
Colorado,Aug,58648.0,208847.0,1637335.0
Colorado,Sep,60020.0,219013.0,1896484.0
Colorado,Oct,66960.0,254486.0,2637741.0
Colorado,Nov,78495.0,340022.0,5023534.0
Colorado,Dec,125307.0,511083.0,9086576.0
Connecticut,Feb,0.0,0.0,0.0
Connecticut,Mar,274.0,0.0,14319.0
Connecticut,Apr,29587.0,0.0,464322.0
Connecticut,May,100856.0,325219.0,1122984.0
Connecticut,Jun,125398.0,310747.0,1348660.0
Connecticut,Jul,135762.0,328185.0,1483675.0
Connecticut,Aug,138000.0,341089.0,1585462.0
Connecticut,Sep,134566.0,341833.0,1651324.0
Connecticut,Oct,141104.0,261366.0,1961272.0
Connecticut,Nov,143352.0,0.0,2783204.0
Connecticut,Dec,170624.0,0.0,4793649.0
Delaware,Mar,53.0,0.0,1835.0
Delaware,Apr,2537.0,0.0,66518.0
Delaware,May,11310.0,0.0,229414.0
Delaware,Jun,14882.0,0.0,312601.0
Delaware,Jul,16554.0,0.0,410093.0
Delaware,Aug,18438.0,0.0,503440.0
Delaware,Sep,18572.0,0.0,572042.0
Delaware,Oct,20617.0,0.0,706558.0
Delaware,Nov,22110.0,0.0,883967.0
Delaware,Dec,26058.0,0.0,1466659.0
District of Columbia,Mar,42.0,0.0,2889.0
District of Columbia,Apr,2650.0,0.0,70950.0
District of Columbia,May,11291.0,0.0,214962.0
District of Columbia,Jun,15433.0,0.0,291828.0
District of Columbia,Jul,17731.0,0.0,345436.0
District of Columbia,Aug,18495.0,0.0,407849.0
District of Columbia,Sep,18516.0,0.0,441301.0
District of Columbia,Oct,19785.0,0.0,503658.0
District of Columbia,Nov,19873.0,0.0,575533.0
District of Columbia,Dec,22570.0,0.0,790037.0
Florida,Jan,0.0,0.0,0.0
Florida,Feb,0.0,0.0,0.0
Florida,Mar,439.0,4592.0,28389.0
Florida,Apr,19320.0,100849.0,625984.0
Florida,May,61797.0,256770.0,1349207.0
Florida,Jun,92369.0,376586.0,2568127.0
Florida,Jul,152519.0,632246.0,9588657.0
Florida,Aug,291835.0,1048322.0,17258476.0
Florida,Sep,390532.0,1263753.0,19875958.0
Florida,Oct,492809.0,1466112.0,22987102.0
Florida,Nov,534944.0,1581740.0,26446057.0
